Age,SibSp,Parch,Fare,Relatives,IsAlone,Sex_male,Embarked_Q,Embarked_S,Pclass_2,Pclass_3
33.0,0,0,151.55,0,1.0,False,False,True,False,False
61.0,1,3,262.375,4,0.0,True,False,False,False,False
28.0,0,0,26.0,0,1.0,True,False,True,True,False
42.0,0,0,26.55,0,1.0,True,False,True,False,False
31.0,3,0,18.0,3,0.0,True,False,True,False,True
29.69911764705882,0,0,51.8625,0,1.0,True,False,True,False,False
22.0,0,0,8.05,0,1.0,True,False,True,False,True
29.69911764705882,0,0,26.55,0,1.0,True,False,True,False,False
30.0,1,1,26.0,2,0.0,True,False,True,True,False
23.0,0,1,83.1583,1,0.0,False,False,False,False,False
29.69911764705882,0,0,7.8958,0,1.0,True,False,False,False,True
60.5,0,0,32.204207968574636,0,1.0,True,False,True,False,True
36.0,0,2,12.1833,2,0.0,False,False,True,False,True
13.0,4,2,31.3875,6,0.0,True,False,True,False,True
24.0,0,0,7.55,0,1.0,True,False,True,False,True
29.0,0,0,221.7792,0,1.0,False,False,True,False,False
23.0,0,0,7.8542,0,1.0,False,False,True,False,True
42.0,0,0,26.55,0,1.0,True,False,True,False,False
26.0,0,2,13.775,2,0.0,False,False,True,False,True
29.69911764705882,0,0,7.7333,0,1.0,False,True,False,False,True
7.0,1,1,15.2458,2,0.0,True,False,False,False,True
26.0,0,0,13.5,0,1.0,False,False,True,True,False
29.69911764705882,0,0,7.0,0,1.0,True,False,True,False,True
41.0,0,0,13.0,0,1.0,True,False,True,True,False
26.0,1,1,22.025,2,0.0,False,False,True,False,True
48.0,0,0,50.4958,0,1.0,True,False,False,False,False
18.0,2,2,34.375,4,0.0,True,False,True,False,True
29.69911764705882,0,0,27.7208,0,1.0,False,False,False,False,False
22.0,0,0,8.9625,0,1.0,False,False,True,False,True
29.69911764705882,0,0,7.55,0,1.0,True,False,True,False,True
27.0,0,0,7.225,0,1.0,True,False,False,False,True
23.0,1,0,13.9,1,0.0,True,False,True,False,True
29.69911764705882,0,0,7.2292,0,1.0,True,False,False,False,True
40.0,1,5,31.3875,6,0.0,True,False,True,False,True
15.0,0,2,39.0,2,0.0,False,False,True,True,False
20.0,0,0,36.75,0,1.0,False,False,True,True,False
54.0,1,0,55.4417,1,0.0,True,False,False,False,False
36.0,0,3,39.0,3,0.0,False,False,True,True,False
64.0,0,2,83.1583,2,0.0,False,False,False,False,False
30.0,0,0,13.0,0,1.0,True,False,True,True,False
37.0,1,1,83.1583,2,0.0,True,False,False,False,False
18.0,1,0,53.1,1,0.0,False,False,True,False,False
29.69911764705882,0,0,7.75,0,1.0,True,True,False,False,True
27.0,1,1,247.5208,2,0.0,False,False,False,False,False
40.0,0,0,16.0,0,1.0,True,False,True,True,False
21.0,0,1,21.0,1,0.0,False,False,True,True,False
17.0,2,0,8.05,2,0.0,True,False,True,False,True
29.69911764705882,8,2,69.55,10,0.0,False,False,True,False,True
40.0,0,0,13.0,0,1.0,True,False,True,True,False
34.0,1,0,26.0,1,0.0,True,False,True,True,False
29.69911764705882,0,0,26.0,0,1.0,True,False,True,False,False
11.5,1,1,14.5,2,0.0,True,False,True,False,True
61.0,0,0,12.35,0,1.0,True,True,False,True,False
8.0,0,2,32.5,2,0.0,True,False,True,True,False
33.0,0,0,7.8542,0,1.0,True,False,True,False,True
6.0,0,2,134.5,2,0.0,True,False,False,False,False
18.0,0,0,7.775,0,1.0,False,False,True,False,True
23.0,0,0,10.5,0,1.0,True,False,True,True,False
29.69911764705882,0,0,8.1125,0,1.0,False,False,True,False,True
29.69911764705882,0,0,15.5,0,1.0,False,True,False,False,True
0.33,0,2,14.4,2,0.0,True,False,True,False,True
47.0,1,0,227.525,1,0.0,True,False,False,False,False
8.0,1,1,26.0,2,0.0,False,False,True,True,False
25.0,0,0,10.5,0,1.0,True,False,True,True,False
29.69911764705882,0,0,25.7417,0,1.0,True,False,False,False,False
35.0,0,0,7.75,0,1.0,False,True,False,False,True
24.0,0,0,10.5,0,1.0,True,False,True,True,False
33.0,0,0,27.7208,0,1.0,False,False,False,False,False
25.0,0,0,7.8958,0,1.0,True,False,True,False,True
32.0,0,0,22.525,0,1.0,True,False,True,False,True
29.69911764705882,0,0,7.05,0,1.0,True,False,True,False,True
17.0,0,0,73.5,0,1.0,True,False,True,True,False
60.0,1,0,26.0,1,0.0,False,False,True,True,False
38.0,4,2,7.775,6,0.0,False,False,True,False,True
42.0,0,0,42.5,0,1.0,True,False,True,False,False
29.69911764705882,0,0,7.8792,0,1.0,False,True,False,False,True
57.0,1,1,164.8667,2,0.0,True,False,True,False,False
50.0,1,1,211.5,2,0.0,False,False,False,False,False
29.69911764705882,0,0,8.05,0,1.0,True,False,True,False,True
30.0,1,0,13.8583,1,0.0,False,False,False,True,False
21.0,0,0,8.05,0,1.0,True,False,True,False,True
22.0,0,0,10.5,0,1.0,False,False,True,True,False
21.0,0,0,7.7958,0,1.0,True,False,True,False,True
53.0,0,0,27.4458,0,1.0,False,False,False,False,False
29.69911764705882,0,2,15.2458,2,0.0,False,False,False,False,True
23.0,0,0,7.7958,0,1.0,True,False,True,False,True
29.69911764705882,0,0,7.75,0,1.0,False,True,False,False,True
40.5,0,0,15.1,0,1.0,True,False,True,False,True
36.0,0,0,13.0,0,1.0,True,False,True,True,False
14.0,0,0,65.0,0,1.0,True,False,True,True,False
21.0,0,0,26.55,0,1.0,False,False,True,False,False
21.0,1,0,6.4958,1,0.0,True,False,True,False,True
29.69911764705882,0,0,7.8792,0,1.0,True,True,False,False,True
39.0,1,0,71.2833,1,0.0,True,False,False,False,False
20.0,0,0,7.8542,0,1.0,True,False,True,False,True
64.0,1,0,75.25,1,0.0,True,False,False,False,False
20.0,0,0,7.225,0,1.0,True,False,False,False,True
18.0,1,1,13.0,2,0.0,False,False,True,True,False
48.0,1,0,106.425,1,0.0,False,False,False,False,False
55.0,0,0,27.7208,0,1.0,False,False,False,False,False
45.0,0,2,30.0,2,0.0,False,False,True,True,False
45.0,1,1,134.5,2,0.0,True,False,False,False,False
29.69911764705882,0,0,7.8875,0,1.0,True,False,True,False,True
29.69911764705882,1,2,23.45,3,0.0,True,False,True,False,True
41.0,1,0,51.8625,1,0.0,True,False,True,False,False
22.0,0,0,21.0,0,1.0,False,False,True,True,False
42.0,1,1,32.5,2,0.0,True,False,True,True,False
29.0,1,0,26.0,1,0.0,False,False,True,True,False
29.69911764705882,1,0,14.4542,1,0.0,False,False,False,False,True
0.92,1,2,27.75,3,0.0,False,False,True,True,False
20.0,0,0,7.925,0,1.0,True,False,True,False,True
27.0,1,0,136.7792,1,0.0,True,False,False,False,False
24.0,0,0,9.325,0,1.0,True,False,True,False,True
32.5,0,0,9.5,0,1.0,True,False,True,False,True
29.69911764705882,0,0,7.55,0,1.0,True,False,True,False,True
29.69911764705882,0,0,7.75,0,1.0,True,True,False,False,True
28.0,0,0,8.05,0,1.0,True,False,True,False,True
19.0,0,0,13.0,0,1.0,False,False,True,True,False
21.0,0,0,7.775,0,1.0,True,False,True,False,True
36.5,1,0,17.4,1,0.0,True,False,True,False,True
21.0,0,0,7.8542,0,1.0,True,False,True,False,True
29.0,0,2,23.0,2,0.0,False,False,True,True,False
1.0,1,1,12.1833,2,0.0,False,False,True,False,True
30.0,0,0,12.7375,0,1.0,True,False,False,True,False
29.69911764705882,0,0,7.8958,0,1.0,True,False,True,False,True
29.69911764705882,0,0,0.0,0,1.0,True,False,True,False,False
29.69911764705882,0,0,7.55,0,1.0,True,False,True,False,True
29.69911764705882,0,0,8.05,0,1.0,False,False,True,False,True
17.0,0,0,8.6625,0,1.0,True,False,True,False,True
46.0,0,0,75.2417,0,1.0,True,False,False,False,False
29.69911764705882,0,0,7.75,0,1.0,True,True,False,False,True
26.0,1,0,136.7792,1,0.0,False,False,False,False,False
29.69911764705882,1,0,15.5,1,0.0,False,True,False,False,True
29.69911764705882,0,0,7.225,0,1.0,True,False,False,False,True
20.0,1,0,26.0,1,0.0,False,False,True,True,False
28.0,0,0,10.5,0,1.0,True,False,True,True,False
40.0,1,0,26.0,1,0.0,True,False,True,True,False
30.0,1,0,21.0,1,0.0,True,False,True,True,False
22.0,0,0,10.5,0,1.0,True,False,True,True,False
23.0,0,0,8.6625,0,1.0,False,False,True,False,True
0.75,1,1,13.775,2,0.0,True,False,True,False,True
29.69911764705882,0,0,7.75,0,1.0,False,True,False,False,True
9.0,1,1,15.2458,2,0.0,False,False,False,False,True
2.0,1,1,20.2125,2,0.0,False,False,True,False,True
36.0,0,0,7.25,0,1.0,True,False,True,False,True
29.69911764705882,0,0,7.25,0,1.0,True,False,True,False,True
24.0,1,0,82.2667,1,0.0,True,False,True,False,False
29.69911764705882,0,0,7.2292,0,1.0,True,False,False,False,True
29.69911764705882,0,0,8.05,0,1.0,True,False,True,False,True
29.69911764705882,0,0,39.6,0,1.0,True,False,True,False,False
30.0,0,0,6.95,0,1.0,False,True,False,False,True
29.69911764705882,0,0,7.2292,0,1.0,True,False,False,False,True
53.0,1,1,81.8583,2,0.0,True,False,True,False,False
36.0,0,0,9.5,0,1.0,True,False,True,False,True
26.0,0,0,7.8958,0,1.0,True,False,True,False,True
1.0,1,2,41.5792,3,0.0,False,False,False,True,False
29.69911764705882,2,0,21.6792,2,0.0,True,False,False,False,True
30.0,0,0,45.5,0,1.0,True,False,True,False,False
29.0,0,0,7.8542,0,1.0,True,False,True,False,True
32.0,0,0,7.775,0,1.0,True,False,True,False,True
29.69911764705882,0,0,15.0458,0,1.0,True,False,False,True,False
43.0,0,1,21.0,1,0.0,True,False,True,True,False
24.0,0,0,8.6625,0,1.0,True,False,True,False,True
29.69911764705882,0,0,7.75,0,1.0,False,True,False,False,True
64.0,1,1,26.55,2,0.0,False,False,True,False,False
30.0,1,2,151.55,3,0.0,True,False,True,False,False
0.83,0,1,9.35,1,0.0,True,False,True,False,True
55.0,1,1,93.5,2,0.0,True,False,True,False,False
45.0,1,0,14.1083,1,0.0,False,False,True,False,True
18.0,0,0,8.6625,0,1.0,True,False,True,False,True
22.0,0,0,7.225,0,1.0,True,False,False,False,True
29.69911764705882,0,0,7.575,0,1.0,True,False,True,False,True
37.0,0,0,7.75,0,1.0,False,True,False,False,True
55.0,0,0,135.6333,0,1.0,False,False,False,False,False
17.0,0,0,7.7333,0,1.0,False,True,False,False,True
57.0,1,0,146.5208,1,0.0,True,False,False,False,False
19.0,0,0,10.5,0,1.0,True,False,True,True,False
27.0,0,0,7.8542,0,1.0,True,False,True,False,True
22.0,2,0,31.5,2,0.0,True,False,True,True,False
26.0,0,0,7.775,0,1.0,True,False,True,False,True
25.0,0,0,7.2292,0,1.0,True,False,False,False,True
26.0,0,0,13.0,0,1.0,True,False,True,True,False
33.0,0,0,26.55,0,1.0,True,False,True,False,False
39.0,0,0,211.3375,0,1.0,False,False,True,False,False
23.0,0,0,7.05,0,1.0,True,False,True,False,True
12.0,2,1,39.0,3,0.0,False,False,True,True,False
46.0,0,0,79.2,0,1.0,True,False,False,False,False
29.0,1,0,26.0,1,0.0,True,False,True,True,False
21.0,0,0,13.0,0,1.0,True,False,True,True,False
48.0,0,2,36.75,2,0.0,False,False,True,True,False
39.0,0,0,29.7,0,1.0,True,False,False,False,False
29.69911764705882,0,0,7.225,0,1.0,True,False,False,False,True
19.0,1,1,15.7417,2,0.0,False,False,False,False,True
27.0,0,0,7.8958,0,1.0,True,False,True,False,True
30.0,0,0,26.0,0,1.0,True,False,True,False,False
32.0,0,0,13.0,0,1.0,True,False,True,True,False
39.0,0,2,7.2292,2,0.0,True,False,False,False,True
25.0,0,0,31.5,0,1.0,True,False,True,True,False
29.69911764705882,0,0,7.2292,0,1.0,True,False,False,False,True
18.0,0,0,10.5,0,1.0,True,False,True,True,False
32.0,0,0,7.5792,0,1.0,True,False,True,False,True
29.69911764705882,1,9,69.55,10,0.0,True,False,True,False,True
58.0,0,1,512.3292,1,0.0,False,False,False,False,False
29.69911764705882,1,1,14.5,2,0.0,True,False,True,False,True
16.0,0,0,7.65,0,1.0,False,False,True,False,True
26.0,0,0,13.0,0,1.0,True,False,True,True,False
38.0,0,0,7.2292,0,1.0,False,False,False,False,True
24.0,0,0,13.5,0,1.0,True,False,True,True,False
31.0,0,0,21.0,0,1.0,False,False,True,True,False
45.0,0,1,63.3583,1,0.0,False,False,False,False,False
25.0,0,0,10.5,0,1.0,True,False,True,True,False
18.0,0,0,73.5,0,1.0,True,False,True,True,False
49.0,1,2,65.0,3,0.0,True,False,True,True,False
0.17,1,2,20.575,3,0.0,False,False,True,False,True
50.0,0,0,26.0,0,1.0,True,False,True,False,False
59.0,2,0,51.4792,2,0.0,False,False,True,False,False
29.69911764705882,0,0,7.8792,0,1.0,True,False,True,False,True
29.69911764705882,0,0,7.75,0,1.0,True,True,False,False,True
30.0,1,0,15.55,1,0.0,False,False,True,False,True
14.5,8,2,69.55,10,0.0,True,False,True,False,True
24.0,1,1,37.0042,2,0.0,False,False,False,True,False
31.0,0,0,21.0,0,1.0,False,False,True,True,False
27.0,0,0,8.6625,0,1.0,True,False,True,False,True
25.0,1,0,55.4417,1,0.0,False,False,False,False,False
29.69911764705882,1,9,69.55,10,0.0,False,False,True,False,True
29.69911764705882,1,0,14.4583,1,0.0,True,False,False,False,True
22.0,0,0,39.6875,0,1.0,False,False,True,False,True
45.0,0,1,59.4,1,0.0,False,False,False,False,False
29.0,0,0,13.8583,0,1.0,True,False,False,True,False
21.0,1,0,11.5,1,0.0,True,False,True,True,False
31.0,0,0,134.5,0,1.0,False,False,False,False,False
49.0,0,0,0.0,0,1.0,True,False,True,False,False
44.0,0,0,13.0,0,1.0,True,False,True,True,False
54.0,1,1,81.8583,2,0.0,False,False,True,False,False
45.0,0,0,262.375,0,1.0,False,False,False,False,False
22.0,2,0,8.6625,2,0.0,False,False,True,False,True
21.0,0,0,11.5,0,1.0,True,False,True,True,False
55.0,0,0,50.0,0,1.0,True,False,True,False,False
5.0,4,2,31.3875,6,0.0,True,False,True,False,True
29.69911764705882,0,0,7.75,0,1.0,True,True,False,False,True
26.0,0,0,7.8792,0,1.0,True,True,False,False,True
29.69911764705882,0,0,14.5,0,1.0,False,False,True,False,True
19.0,1,0,16.1,1,0.0,False,False,True,False,True
29.69911764705882,0,0,12.875,0,1.0,True,False,True,True,False
24.0,1,2,65.0,3,0.0,False,False,True,True,False
24.0,0,0,7.775,0,1.0,True,False,True,False,True
57.0,0,0,13.0,0,1.0,True,False,True,True,False
21.0,0,0,7.75,0,1.0,True,True,False,False,True
6.0,3,1,21.075,4,0.0,True,False,True,False,True
23.0,0,0,93.5,0,1.0,True,False,True,False,False
51.0,0,1,39.4,1,0.0,False,False,True,False,False
13.0,0,2,20.25,2,0.0,True,False,True,False,True
47.0,0,0,10.5,0,1.0,True,False,True,True,False
29.0,3,1,22.025,4,0.0,True,False,True,False,True
18.0,1,0,60.0,1,0.0,False,False,True,False,False
24.0,0,0,7.25,0,1.0,True,True,False,False,True
48.0,1,1,79.2,2,0.0,False,False,False,False,False
22.0,0,0,7.775,0,1.0,True,False,True,False,True
31.0,0,0,7.7333,0,1.0,True,True,False,False,True
30.0,0,0,164.8667,0,1.0,False,False,True,False,False
38.0,1,0,21.0,1,0.0,True,False,True,True,False
22.0,0,1,59.4,1,0.0,False,False,False,False,False
17.0,0,0,47.1,0,1.0,True,False,True,False,False
43.0,1,0,27.7208,1,0.0,True,False,False,False,False
20.0,0,0,13.8625,0,1.0,True,False,False,True,False
23.0,1,0,10.5,1,0.0,True,False,True,True,False
50.0,1,1,211.5,2,0.0,True,False,False,False,False
29.69911764705882,0,0,7.7208,0,1.0,False,True,False,False,True
3.0,1,1,13.775,2,0.0,False,False,True,False,True
29.69911764705882,0,0,7.75,0,1.0,False,True,False,False,True
37.0,1,0,90.0,1,0.0,False,True,False,False,False
28.0,0,0,7.775,0,1.0,False,False,True,False,True
29.69911764705882,0,0,8.05,0,1.0,True,False,True,False,True
39.0,0,0,108.9,0,1.0,False,False,False,False,False
38.5,0,0,7.25,0,1.0,True,False,True,False,True
29.69911764705882,0,0,8.05,0,1.0,True,False,True,False,True
29.69911764705882,1,1,22.3583,2,0.0,True,False,False,False,True
